area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.947840718,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,0.301551692,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,All Wired,0.975696392,0.974948589,0.969340064,0.957936063,0.947840718,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,All Wired,0.722004113,0.619742008,0.574312956,0.413535240,0.301551692,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Any Terrestrial,0.983174425,0.982426622,0.977191999,0.962983735,0.947840718,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Any Terrestrial,0.853056646,0.761637689,0.723873621,0.478594130,0.301551692,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,All Wired and Licensed Fixed Wireless,0.983174425,0.982426622,0.977191999,0.962983735,0.947840718,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,All Wired and Licensed Fixed Wireless,0.853056646,0.761637689,0.723873621,0.478594130,0.301551692,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Copper,0.568330529,0.448681997,0.370723500,0.179098897,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Copper,0.568330529,0.448681997,0.370723500,0.179098897,0,0.000000000
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Cable/Fiber,0.948214620,0.948214620,0.948214620,0.948214620,0.947840718,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Cable/Fiber,0.301925594,0.301925594,0.301925594,0.301925594,0.301551692,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Cable,0.879790615,0.879790615,0.879790615,0.879790615,0.879790615,0.000000000
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Cable,0.150308469,0.150308469,0.150308469,0.150308469,0.150308469,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Fiber,0.205645915,0.205645915,0.205645915,0.205645915,0.205272013,0.192185455
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Fiber,0.220788933,0.220788933,0.220788933,0.220788933,0.220415031,0.192372406
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0.000000000
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,All Fixed Wireless,0.645541223,0.543279118,0.543279118,0.484950458,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,All Fixed Wireless,0.595625351,0.496354459,0.471863900,0.208637128,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Unlicensed Fixed Wireless,0,0,0,0,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Licensed Fixed Wireless,0.645541223,0.543279118,0.543279118,0.484950458,0,0.000000000
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Licensed Fixed Wireless,0.595625351,0.496354459,0.471863900,0.208637128,0.000000000,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,R,Other,0,0.000000000,0,0,0,0
Total,Census Place,3700160,Aberdeen,"Aberdeen, NC",5349,B,Other,0,0,0,0,0.000000000,0
Total,Census Place,3700440,Advance,"Advance, NC",768,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
