area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Any Technology,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,All Wired,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Any Terrestrial,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,All Wired and Licensed Fixed Wireless,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Copper,0.507425743,0.507425743,0.023691655,0,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Copper,0.117751061,0.117751061,0.030056577,0,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Cable/Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Cable,0.881188119,0.881188119,0.881188119,0.881188119,0.881188119,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Cable,0.193422914,0.193422914,0.193422914,0.193422914,0.193422914,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Fiber,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,All Fixed Wireless,0.724540311,0.364568600,0.364568600,0.088401697,0,0.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,All Fixed Wireless,0.850777935,0.453323904,0.442715700,0.003889675,0,0
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,R,Unlicensed Fixed Wireless,0,0,0,0,0,0.000000000
Total,Census Place,4500100,Abbeville,"Abbeville, SC",2828,B,Unlicensed Fixed Wireless,0.000000000,0,0,0,0,0
