county_fips,county_name,State,records,providers,avg_down_mbps,median_down_mbps,avg_up_mbps,median_up_mbps
37007,"Anson County, NC",NC,11338,17,32.2277543366151,10.0,11.813444325481798,2.0
37025,"Cabarrus County, NC",NC,31420,29,37.73387111604312,25.0,15.095876671771313,3.0
37071,"Gaston County, NC",NC,40804,22,36.96894154910989,25.0,9.372307250031522,3.0
37097,"Iredell County, NC",NC,35957,32,64.09131531883068,25.0,11.57015104807115,3.0
37109,"Lincoln County, NC",NC,12430,20,32.22510240444487,25.0,7.526055036855037,3.0
37119,"Mecklenburg County, NC",NC,99205,51,40.626402015845954,25.0,8.788069883273572,3.0
37159,"Rowan County, NC",NC,29454,23,32.38067482633146,18.0,10.561883439943141,3.0
37179,"Union County, NC",NC,34654,29,34.52805431396451,18.0,12.27965599461027,3.0
45057,"Lancaster County, SC",SC,20103,17,27.295623645204756,11.0,6.180199906293924,1.3
45091,"York County, SC",SC,35519,26,26.385527280048322,11.0,6.44376808386721,3.0
